,MD,IA,DE,OH,PA,NE,WA,PR,AL,AR,NM,TX,CA,KY,GA,WI,OR,MO,VA,TN,LA,NY,MI,ID,FL,AK,IL,MT,MN,IN,MA,KS,NV,VT,CT,NJ,DC,NC,UT,ND,SC,MS,CO,SD,OK,WY,WV,ME,HI,NH,AZ,RI
2014-01-01,0.0024127053404804995,0.0008112159791067632,0.001946732366773194,0.0019095794622786945,0.0016490045259745334,0.0011244677561365437,0.0049175090731523475,0.015291774563161666,0.00462859649426997,0.0033728800583404644,0.002294226831308483,0.005058249186721786,0.004073020728277131,0.0025127813400552313,0.004099255631863683,0.0009158410811582488,0.004541477064604567,0.0026161963986272626,0.002791965420390154,0.0026840641619854445,0.006007466047745806,0.001455282902745782,0.0011220285258779434,0.003521121467699638,0.010589622900723602,0.0026061326348631817,0.0017550839945680032,0.0032251950275523846,0.0003532376281347206,0.002012240742247153,0.0010921338564100257,0.0022919462385020163,0.002281548823364334,0.0007780095195649487,0.0015625821523173533,0.0016770753610464474,0.002757670385099855,0.003153525429792301,0.0031951449873080613,0.0003491821989263688,0.003932248997553775,0.005201311925349496,0.0030735655266303182,0.0008495459751545493,0.0035119272466680182,0.0033428242307672056,0.002177233619026623,0.0007762620072846753,0.01291941509747595,0.0009869211543951898,0.0030660463264711893,0.0011198275124183088
2014-01-02,0.003299787796492976,0.000651793790615176,0.0030837360619473965,0.0020813461099054554,0.0022987364517325407,0.0008482057893481675,0.004926785397271316,0.015680357177948624,0.006460044368506647,0.0031358607299414665,0.0022764779291502227,0.004549504240433565,0.00419578554887446,0.0030805008360579923,0.006345104988792932,0.0010153198694537475,0.004321483732245331,0.0015510906521852856,0.0036157965132936937,0.003888294451186021,0.006854472805071709,0.0019295686925445078,0.0011042042097889468,0.0032660989000455856,0.012864326894077379,0.002764984231752289,0.0015458497117631297,0.002543401369938116,0.0003716023785663422,0.001954917559093155,0.0015360704775782648,0.0011483065431038466,0.0026727684314489368,0.00047222832572852227,0.0021804201819065495,0.0025112309308811262,0.0034010306433631637,0.004767748321754943,0.002608450393625517,0.0003307199339140404,0.005765161735708744,0.006674389583031913,0.0021651543661321804,0.0007790664986512512,0.0019245145256164835,0.0020591103542443165,0.002932814315972535,0.0005828213811888098,0.01393621436307579,0.0009571527641818856,0.0031802155220101015,0.0016861905579693957
2014-01-03,0.001874030498950999,0.0008048927624712837,0.0016083163754052172,0.0009572031814631092,0.0011309731896907654,0.0014256342672680482,0.004667436698973669,0.015071334060809705,0.0018205722655272416,0.001550717413106162,0.0021950134921274503,0.0027984669736298073,0.004626727935490284,0.0010675560529873787,0.0020293444963844884,0.0007424376846109568,0.0047010359533706525,0.0011139591657059378,0.0022866221314647665,0.0012461637619031894,0.0024468665430124824,0.001058587481790383,0.0007179344770622544,0.003494949185723872,0.007030652983529136,0.0027280504074830864,0.000832381412431968,0.003335904213476845,0.0007121358732236014,0.0008860570668511729,0.0009486686989594651,0.0015701435445314496,0.002468804601619329,0.00038437026906307627,0.0011501486001209479,0.001308383111074553,0.0021534238183495507,0.002588253266399476,0.0024207414490665085,0.0015374067688595887,0.0025516673557563195,0.001996511019527714,0.002410011413928045,0.0015853579376044814,0.0020346171525913504,0.002655568082778954,0.0013151151073515818,0.0004327793922162684,0.013591578190046123,0.0005918285151518423,0.003127699515832544,0.0009560681527693362
2014-01-04,0.001125675993283855,0.0020277825553841103,0.001023468220883183,0.00129174218712816,0.0009116817640971325,0.0022555692074810946,0.0035173898433635566,0.015603570343341273,0.0024863519588284857,0.002623585577021966,0.002453215720821378,0.00522437845005527,0.005317318783025074,0.001354666958975821,0.0022889696184780622,0.001910418336857037,0.0033893954955162005,0.0022849144008544806,0.0012789546470782958,0.001509204603429672,0.004088712633589426,0.0008743517145644622,0.0014994046557728906,0.0021629416417369538,0.00722010521863651,0.002759483261266796,0.0018758748740773969,0.001986900561730991,0.0017148044354364977,0.0016961255611025422,0.0007113792792381167,0.0025866145921403564,0.002625232988227368,0.0004746848236151808,0.0008252195387896421,0.0008688203844367656,0.0011800021716729286,0.0016878858535982425,0.002739033378301501,0.0010391064586331498,0.001995810521909871,0.0030313622970326074,0.002513830461820745,0.0019709475445347895,0.0034677308183984476,0.002374374726138908,0.0010004804522730979,0.0005051820659726572,0.00987726729445646,0.0005155896943419854,0.0034959027617016566,0.0007564215025453843
2014-01-05,0.002840881060241794,0.000719836377594003,0.003006858090000843,0.002839702369858221,0.002175866749218081,0.0006707691266860143,0.0031089615303165046,0.015018331875315073,0.00565422348358798,0.004548688187757121,0.0013881462380888093,0.005791323650927428,0.004190606304192822,0.0037737480640543677,0.004924044885603071,0.0013491119780283285,0.0027496600504717233,0.0020894888887683016,0.003735979235540636,0.004405058365488027,0.007649701880456814,0.0019988104649734137,0.0025877934321480046,0.0016591858914094663,0.011601441979581153,0.0030384267989045917,0.0022033105653147156,0.0008992876439416227,0.00037985901817774964,0.0030053671719913167,0.0019314031801690268,0.0012145098763803885,0.0014269836147417104,0.0013097463556469965,0.0020085438483897515,0.0022220243920766146,0.0029264930099458936,0.0048365808924700155,0.0017004971039182614,0.00023788193379180788,0.004824152030689546,0.006731052037874522,0.001164173594373346,0.0004949361172018161,0.002480854407865031,0.0010817231247569738,0.0029510244911944332,0.0012846190472933518,0.009005815201531075,0.0014118471619775914,0.0029177195639709568,0.0020947461667132302
2014-01-06,0.004784512239569427,0.000243227959218407,0.005756270526742283,0.002197491262622999,0.004283095106900858,0.00031430527220462594,0.0030573352374258828,0.015451680768837666,0.003457217287355648,0.0007836092358205906,0.0009918860347269214,0.0016239850093506944,0.0029737811238780506,0.0016886510374288348,0.0045275296211788165,0.00039389043732274045,0.0027375439083468676,0.00045196640040565914,0.005499748235543635,0.0018538227639677328,0.0024955496102401866,0.005236307604468857,0.001238636741696183,0.001584412982037557,0.011498718599291696,0.0031686069231584273,0.0004051882768913167,0.000906198430241209,0.00018030253948210693,0.0007705695116811071,0.005890903641846759,0.00048096606226485374,0.0011071656183984605,0.004021704496306462,0.005932999528424213,0.005768945392667369,0.004903696418585953,0.006129935892546298,0.0013565187712595694,0.00018670137551907552,0.0055313927367366175,0.0024973098573998634,0.0009705428434474218,0.0002728918852604436,0.0007867901719051487,0.0009549770953523591,0.0033504708324688906,0.00476533869482361,0.009278950368046124,0.005193084042261244,0.0015916960890128707,0.0061664593147140335
2014-01-07,0.0005464798947264584,0.00046780825204429906,0.0006158010243693967,0.0003806201387063784,0.0004562315832514329,0.0008684623633916365,0.004299468515007909,0.016081727983801263,0.0008118966992756669,0.0009176078560514395,0.001252739320429553,0.001675179729982842,0.00348002340047194,0.0005017008912285678,0.0007889047289931842,0.0003588523903791744,0.004225186026720737,0.0007857970698752896,0.0006689365103683922,0.0006096694774779188,0.0012215434848711249,0.0008426929242595348,0.0004440100392051659,0.0020916221384984506,0.0031763140173926684,0.002901133865833789,0.0004099156917427923,0.00194877760114442,0.00032091363044799577,0.0004089233862137236,0.0010958031428567726,0.0011634724298590722,0.0016271905911893353,0.0008813708968650234,0.0009210333553076646,0.0007686905986175032,0.0005637564559713548,0.0007769838336364934,0.0019091793760872887,0.00045674828945161875,0.0008060931366162783,0.0009099968326642442,0.002023417231543451,0.000793950872140697,0.0013007024398043313,0.0018375619769201124,0.0004148710868581616,0.0014447880832556307,0.009550968776812463,0.0010618310172227235,0.001683867096072308,0.0011082998121671771
2014-01-08,0.000780474256720346,0.000694311860250427,0.0006923552078241096,0.0009154002054646136,0.000660966295142079,0.0012807475136384489,0.005526432963661594,0.014906290272027688,0.0012301846168928216,0.0018433718002210775,0.0017200255222103175,0.004292525386937669,0.005299708657303617,0.001132594332559966,0.0013193062353040867,0.00056220294569218,0.005896497395344813,0.0018465189177510697,0.0009171316589074224,0.0011487770475930206,0.0022514640940577597,0.0007529940394475034,0.0007728102122079399,0.0035290007271304093,0.005789865929099126,0.0029149713271039396,0.0008739193888943919,0.0028929957186371313,0.00038416639981027524,0.0009578853798262408,0.0005719849359376827,0.0021423668885087372,0.00198204252277843,0.000689273667250112,0.0007140169197175172,0.0006949286986632218,0.0008713375765395757,0.0011430860302035592,0.003358500501747986,0.0003963589741923007,0.0014013951874717859,0.0014320155062358137,0.0026660760529147723,0.0010886899799349477,0.0026282650342341683,0.0025803833163419014,0.0008415682114035571,0.0006851877832325036,0.009819742602361934,0.0006126737289772399,0.0022573281158764784,0.0005677808895441667
2014-01-09,0.0017291930891129173,0.0009483391163110508,0.001558534529425925,0.0016841568234944682,0.001406907797835346,0.0014531806468676292,0.005098449929376232,0.014836604025263097,0.002912838171594762,0.0035848750808275373,0.0017973940627303332,0.00733498174121869,0.006091475398850066,0.0022397684843848903,0.002898626425203197,0.000874456959342673,0.005474394197275162,0.002475044960086492,0.001893356507486449,0.0022759276413316775,0.005121029566785444,0.0012253002897296803,0.0009809568490986363,0.004146418730193136,0.010458310484102498,0.0028098416545976695,0.0013314667725684045,0.0031987990334700037,0.0007548712723734805,0.0015586549029835072,0.0009249289423560261,0.0023185693084512822,0.0021842514242905605,0.0009338863145116934,0.0012167925994400397,0.0012874603833890564,0.0018680113426027035,0.002113113740366817,0.0035186114890875314,0.0014397094959052977,0.0026439960631495815,0.0032489493208329267,0.0024745182439448892,0.0016178465742465167,0.004086185252850858,0.0026376486341175938,0.001783863730933382,0.0008976993618804078,0.011707575190469758,0.0009242699104049101,0.0024744165954639777,0.000918305239957761
2014-01-10,0.0031996357948031974,0.002881056768615916,0.002955729806534898,0.0037475290613126584,0.002833237583779435,0.0030106408721569363,0.005501024487062082,0.014321019114122807,0.006794975479138478,0.005939092855372233,0.0020981254255308442,0.009653704771196425,0.005595456036777016,0.0049072261112725595,0.006553945516371839,0.0026989286012232645,0.005917745115699688,0.004479141275027865,0.0037457920964359325,0.005284393823364634,0.008583616134157371,0.0024865170879333114,0.002886407461096058,0.0038083254264259466,0.013551560865265043,0.002453462718796205,0.003452998717786236,0.002767653171987173,0.0022388498662854464,0.003879743247169759,0.0020324000422830483,0.004245572340121497,0.002734033199888261,0.0013373133474656683,0.0025459667511508995,0.002674775396239289,0.00340209926893261,0.004904504031099469,0.003290776842842769,0.00218784840791433,0.006209236091776902,0.006944677858557101,0.0021383458025426875,0.0027220788103494964,0.005942348898588986,0.002372254309225374,0.003894879225843549,0.001234338206300672,0.012489191737241417,0.0015906249548848248,0.002717282889319022,0.0021363235084017806
2014-01-11,0.006117721330126263,0.003133653117331314,0.006856714726783715,0.005735517137205992,0.006061638789366412,0.0028740781321978603,0.005855974996559058,0.014035944585964475,0.009842116834599688,0.00565016744240419,0.002098908680479586,0.006618771055072466,0.005696971995013983,0.0065498606818168315,0.009580767886408994,0.0036478355093683855,0.006037944625704418,0.004456045380488267,0.0072620783551987375,0.006796026020359735,0.00987308404992505,0.005995117988323456,0.004546630037265616,0.0046600467167541414,0.014693213626887636,0.0019343022971688344,0.00429568545313683,0.0035094481664189312,0.002780829599297358,0.005023105228536673,0.00575830138816576,0.0036290858380433255,0.003205718486250618,0.004133517391682344,0.006379852099403374,0.006578617407232442,0.006279822813460405,0.009137094178524197,0.003747679212041032,0.002183531452275747,0.009633067668483637,0.009465213247492119,0.002564251990204339,0.002551952612172358,0.0035095056125451843,0.003071269711007627,0.0066620096599434644,0.003671809065760807,0.013342448650909373,0.00490713513414266,0.003185621867385045,0.0060020857968667435
2014-01-12,0.004349117922195423,0.0030156949786270576,0.004451404522549424,0.0033729207677347483,0.0038692342452708067,0.0029181280236728045,0.005032832524929745,0.014618748782968061,0.004180908315491762,0.0036646760713659617,0.002275739891286987,0.004876501420528587,0.005803145872832203,0.0037491322339099973,0.004766041715695968,0.0027946156201264973,0.005325586046505879,0.0034787793854457456,0.004673790271068359,0.003957308987038317,0.004225923074116104,0.004560844670234467,0.0031232717873944105,0.003726669193082435,0.009797904041706698,0.0015293090317650686,0.003167270499215205,0.003245917889533591,0.0028394854694526405,0.0033339020953460996,0.004944405836706744,0.0033244739230883433,0.002696122528512817,0.004162035343528808,0.0049849267550632435,0.0047712050950353664,0.004608169853817797,0.004945249482290899,0.003808427044673529,0.0030424993005750715,0.005114805524378914,0.003921775195750872,0.003007702211562723,0.003265067047543256,0.0034037340927065055,0.0031676845515196507,0.003738382728373343,0.0048037497989662096,0.013680650607218398,0.004834061705309554,0.003423505706405476,0.005026267750586772
2014-01-13,0.0037059497422526847,0.003284472730879763,0.003576939447753142,0.0038375870841897606,0.003282487389462863,0.002894523292629364,0.006017336956777502,0.014918652955392016,0.005975582583340003,0.005174029006378719,0.0014349997198835286,0.006817721813686892,0.0038415849184614786,0.00458017715279214,0.004834028847602756,0.0034567571508143484,0.006012226627177561,0.004050869014936891,0.0038777941688328626,0.004808813153132196,0.00836857062819318,0.0034008621156888055,0.003694642207142798,0.004424534253968108,0.009239463657361679,0.0017558083190611308,0.0038963953587450475,0.003349715256747229,0.0027245502794581997,0.004192293519606812,0.002880904037540226,0.0034467055946827427,0.001986659098826797,0.002681700595274641,0.0035108327628369422,0.0035491446888976015,0.0038891796164887533,0.004149254686045794,0.003274264502887311,0.0020606689126648993,0.0044390990524064994,0.0072564873512061525,0.0018189916373258204,0.002847374624583047,0.0037828752028709082,0.002484841910403808,0.0034203885449005374,0.0028220957509653335,0.014195369600677929,0.00269104801196172,0.0027127848252703054,0.002968240699242026
2014-01-14,0.005392635833154609,0.0025928389858440094,0.005367657436384249,0.004160684502526665,0.004976113506187165,0.002406838064389698,0.0058626900760746035,0.01406144073175698,0.006627907278087526,0.0035182389874524834,0.0016073708064487898,0.0030807730006975295,0.003072539900229153,0.00462761980987222,0.006747889273035625,0.002498986228860389,0.004952717927137543,0.00300252761117467,0.005865168302474658,0.004832201721250733,0.005077558987929883,0.005051105783381864,0.003102790665756092,0.00393364682884216,0.012779713872655443,0.002219409657872594,0.0028973667117290387,0.003504830227170288,0.001921112729012029,0.003414104619490963,0.005363712721972847,0.0025573168548074054,0.002065466993005976,0.004238056123737051,0.005329351459752992,0.005306285035168149,0.005604392710527803,0.006498486247601662,0.0030330680091926973,0.0016202018306490074,0.006977357047381014,0.005930252011899395,0.002382383871422741,0.0025631977028291856,0.0026377579043151745,0.0027985230317419648,0.005142726888687163,0.004825473861443778,0.01376337955405454,0.004896651069426708,0.002309171322547412,0.005554003393280566
