2018-07-06,Atlanta,393
2018-07-07,Atlanta,393
2018-07-08,Atlanta,394
2018-07-09,Atlanta,394
2018-07-10,Atlanta,395
2018-07-11,Atlanta,395
2018-07-12,Atlanta,396
2018-07-13,Atlanta,397
2018-07-14,Atlanta,397
2018-07-15,Atlanta,398
2018-07-16,Atlanta,398
2018-07-17,Atlanta,399
2018-07-18,Atlanta,400
2018-07-19,Atlanta,400
2018-07-20,Atlanta,401
2018-07-21,Atlanta,402
2018-07-22,Atlanta,402
2018-07-23,Atlanta,403
2018-07-24,Atlanta,404
2018-07-25,Atlanta,404
2018-07-26,Atlanta,405
2018-07-27,Atlanta,406
2018-07-28,Atlanta,406
2018-07-29,Atlanta,407
2018-07-30,Atlanta,408
2018-07-31,Atlanta,409
2018-08-01,Atlanta,409
2018-08-02,Atlanta,410
2018-08-03,Atlanta,411
2018-08-04,Atlanta,411
2018-08-05,Atlanta,412
2018-08-06,Atlanta,413
2018-08-07,Atlanta,414
2018-08-08,Atlanta,414
2018-08-09,Atlanta,415
2018-08-10,Atlanta,416
2018-08-11,Atlanta,416
2018-08-12,Atlanta,417
2018-08-13,Atlanta,418
2018-08-14,Atlanta,419
2018-08-15,Atlanta,419
2018-08-16,Atlanta,420
2018-08-17,Atlanta,421
2018-08-18,Atlanta,421
2018-08-19,Atlanta,422
2018-08-20,Atlanta,423
2018-08-21,Atlanta,424
2018-08-22,Atlanta,424
2018-08-23,Atlanta,425
2018-08-24,Atlanta,426
2018-08-25,Atlanta,426
2018-08-26,Atlanta,427
2018-08-27,Atlanta,428
2018-08-28,Atlanta,428
2018-08-29,Atlanta,429
2018-08-30,Atlanta,430
2018-08-31,Atlanta,430
2018-09-01,Atlanta,431
2018-09-02,Atlanta,432
2018-09-03,Atlanta,432
2018-09-04,Atlanta,433
2018-09-05,Atlanta,434
2018-09-06,Atlanta,435
2018-09-07,Atlanta,435
2018-09-08,Atlanta,436
2018-09-09,Atlanta,437
2018-09-10,Atlanta,437
2018-09-11,Atlanta,438
2018-09-12,Atlanta,439
2018-09-13,Atlanta,439
2018-09-14,Atlanta,440
2018-09-15,Atlanta,441
2018-09-16,Atlanta,441
2018-09-17,Atlanta,442
2018-09-18,Atlanta,443
2018-09-19,Atlanta,443
2018-09-20,Atlanta,444
2018-09-21,Atlanta,445
2018-09-22,Atlanta,445
2018-09-23,Atlanta,446
2018-09-24,Atlanta,447
2018-09-25,Atlanta,447
2018-09-26,Atlanta,448
2018-09-27,Atlanta,449
2018-09-28,Atlanta,450
2018-09-29,Atlanta,450
2018-09-30,Atlanta,451
2018-10-01,Atlanta,452
2018-10-02,Atlanta,452
2018-10-03,Atlanta,453
2018-10-04,Atlanta,454
2018-10-05,Atlanta,455
2018-10-06,Atlanta,455
2018-10-07,Atlanta,456
2018-10-08,Atlanta,457
2018-10-09,Atlanta,458
2018-10-10,Atlanta,458
2018-10-11,Atlanta,459
2018-10-12,Atlanta,460
2018-10-13,Atlanta,461
2018-10-14,Atlanta,461
2018-10-15,Atlanta,462
2018-10-16,Atlanta,463
2018-10-17,Atlanta,464
2018-10-18,Atlanta,465
2018-10-19,Atlanta,465
2018-10-20,Atlanta,466
2018-10-21,Atlanta,467
2018-10-22,Atlanta,468
2018-10-23,Atlanta,469
2018-10-24,Atlanta,469
2018-10-25,Atlanta,470
2018-10-26,Atlanta,471
2018-10-27,Atlanta,472
2018-10-28,Atlanta,473
2018-10-29,Atlanta,474
2018-10-30,Atlanta,475
2018-10-31,Atlanta,476
2018-11-01,Atlanta,476
2018-11-02,Atlanta,477
2018-11-03,Atlanta,478
2018-11-04,Atlanta,419
2018-11-05,Atlanta,420
2018-11-06,Atlanta,421
2018-11-07,Atlanta,422
2018-11-08,Atlanta,423
2018-11-09,Atlanta,424
2018-11-10,Atlanta,425
2018-11-11,Atlanta,426
2018-11-12,Atlanta,427
2018-11-13,Atlanta,427
2018-11-14,Atlanta,428
2018-11-15,Atlanta,429
2018-11-16,Atlanta,430
2018-11-17,Atlanta,431
2018-11-18,Atlanta,432
2018-11-19,Atlanta,433
2018-11-20,Atlanta,434
2018-11-21,Atlanta,435
2018-11-22,Atlanta,436
2018-11-23,Atlanta,437
2018-11-24,Atlanta,438
2018-11-25,Atlanta,439
2018-11-26,Atlanta,440
2018-11-27,Atlanta,440
2018-11-28,Atlanta,441
2018-11-29,Atlanta,442
2018-11-30,Atlanta,443
2018-12-01,Atlanta,444
2018-12-02,Atlanta,445
2018-12-03,Atlanta,446
2018-12-04,Atlanta,447
2018-12-05,Atlanta,447
2018-12-06,Atlanta,448
2018-12-07,Atlanta,449
2018-12-08,Atlanta,450
2018-12-09,Atlanta,450
2018-12-10,Atlanta,451
2018-12-11,Atlanta,452
2018-12-12,Atlanta,453
2018-12-13,Atlanta,453
2018-12-14,Atlanta,454
2018-12-15,Atlanta,455
2018-12-16,Atlanta,455
2018-12-17,Atlanta,456
2018-12-18,Atlanta,457
2018-12-19,Atlanta,457
2018-12-20,Atlanta,458
2018-12-21,Atlanta,458
2018-12-22,Atlanta,459
2018-12-23,Atlanta,459
2018-12-24,Atlanta,460
2018-12-25,Atlanta,460
2018-12-26,Atlanta,460
2018-12-27,Atlanta,461
2018-12-28,Atlanta,461
2018-12-29,Atlanta,461
2018-12-30,Atlanta,462
2018-12-31,Atlanta,462
2018-01-01,Beijing,456
2018-01-02,Beijing,456
2018-01-03,Beijing,456
2018-01-04,Beijing,456
2018-01-05,Beijing,456
2018-01-06,Beijing,456
2018-01-07,Beijing,456
2018-01-08,Beijing,456
2018-01-09,Beijing,456
2018-01-10,Beijing,456
2018-01-11,Beijing,455
2018-01-12,Beijing,455
2018-01-13,Beijing,455
2018-01-14,Beijing,454
2018-01-15,Beijing,454
2018-01-16,Beijing,454
2018-01-17,Beijing,453
2018-01-18,Beijing,453
2018-01-19,Beijing,452
2018-01-20,Beijing,452
2018-01-21,Beijing,451
2018-01-22,Beijing,451
2018-01-23,Beijing,450
2018-01-24,Beijing,449
2018-01-25,Beijing,449
2018-01-26,Beijing,448
2018-01-27,Beijing,447
2018-01-28,Beijing,446
2018-01-29,Beijing,446
2018-01-30,Beijing,445
2018-01-31,Beijing,444
2018-02-01,Beijing,443
2018-02-02,Beijing,442
2018-02-03,Beijing,441
2018-02-04,Beijing,440
2018-02-05,Beijing,439
2018-02-06,Beijing,438
2018-02-07,Beijing,437
2018-02-08,Beijing,436
2018-02-09,Beijing,435
2018-02-10,Beijing,434
2018-02-11,Beijing,432
2018-02-12,Beijing,431
2018-02-13,Beijing,430
2018-02-14,Beijing,429
2018-02-15,Beijing,428
2018-02-16,Beijing,426
2018-02-17,Beijing,425
2018-02-18,Beijing,424
2018-02-19,Beijing,422
2018-02-20,Beijing,421
2018-02-21,Beijing,420
2018-02-22,Beijing,418
2018-02-23,Beijing,417
2018-02-24,Beijing,415
2018-02-25,Beijing,414
2018-02-26,Beijing,413
2018-02-27,Beijing,411
2018-02-28,Beijing,410
2018-03-01,Beijing,408
2018-03-02,Beijing,407
2018-03-03,Beijing,405
2018-03-04,Beijing,404
2018-03-05,Beijing,402
2018-03-06,Beijing,401
2018-03-07,Beijing,399
2018-03-08,Beijing,398
2018-03-09,Beijing,396
2018-03-10,Beijing,394
2018-03-11,Beijing,393
2018-03-12,Beijing,391
2018-03-13,Beijing,390
2018-03-14,Beijing,388
2018-03-15,Beijing,386
2018-03-16,Beijing,385
2018-03-17,Beijing,383
2018-03-18,Beijing,382
2018-03-19,Beijing,380
2018-03-20,Beijing,378
2018-03-21,Beijing,377
2018-03-22,Beijing,375
2018-03-23,Beijing,374
2018-03-24,Beijing,372
2018-03-25,Beijing,370
2018-03-26,Beijing,369
2018-03-27,Beijing,367
2018-03-28,Beijing,365
2018-03-29,Beijing,364
2018-03-30,Beijing,362
2018-03-31,Beijing,361
2018-04-01,Beijing,359
2018-04-02,Beijing,357
2018-04-03,Beijing,356
2018-04-04,Beijing,354
2018-04-05,Beijing,353
2018-04-06,Beijing,351
2018-04-07,Beijing,350
2018-04-08,Beijing,348
2018-04-09,Beijing,346
2018-04-10,Beijing,345
2018-04-11,Beijing,343
2018-04-12,Beijing,342
2018-04-13,Beijing,340
2018-04-14,Beijing,339
2018-04-15,Beijing,337
2018-04-16,Beijing,336
2018-04-17,Beijing,334
2018-04-18,Beijing,333
2018-04-19,Beijing,331
2018-04-20,Beijing,330
2018-04-21,Beijing,328
2018-04-22,Beijing,327
2018-04-23,Beijing,326
2018-04-24,Beijing,324
2018-04-25,Beijing,323
2018-04-26,Beijing,322
2018-04-27,Beijing,320
2018-04-28,Beijing,319
2018-04-29,Beijing,318
2018-04-30,Beijing,316
2018-05-01,Beijing,315
2018-05-02,Beijing,314
2018-05-03,Beijing,313
2018-05-04,Beijing,311
2018-05-05,Beijing,310
2018-05-06,Beijing,309
2018-05-07,Beijing,308
2018-05-08,Beijing,307
