code	pop	state
AT	8401940	Austria
BE	11000638	Belgium
CZ	10436560	Czechia
DK	5560628	Denmark
EE	1294455	Estonia
ES	46815910	Spain
FI	5388272	Finland
FR	64933400	France
HU	9937628	Hungary
IE	4574888	Ireland
IT	59433744	Italy
LT	3043429	Lithuania
LU	512353	Luxembourg
NL	16655799	Netherlands
NO	4979954	Norway
PL	38044565	Poland
PT	10562178	Portugal
RO	20121641	Romania
SI	2050189	Slovenia
