,AL,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK
2010-08-13,298.91526031726994,291.0546798887694,288.9695741247284,300.325283784048,288.92048629589215,303.4103200964793,293.0017995734711,290.3210213061196,291.48785741833984,296.73162771914247,301.72948836977736,295.5716288761074,294.74419448344196,291.13017664077404,296.20369590644634,297.2284792158599,287.12220271497284,285.9129139023284,296.04184627256785,286.60130592382274,297.7218698352591,289.37492479309685,296.8605861238055,296.40487282359237,297.19567963862545,,288.77688260510064,289.2612448913197,295.44589264373167,295.2175160687074,299.63835392698945,299.2712798688525,292.6646445837322,292.6347191221208,295.06357867904165,300.67227546019564,287.305436296617
2010-08-14,299.85220145627414,291.53877846223696,289.8450279893697,299.9223156695943,287.99266817295415,303.86956834388894,292.3029324410004,290.7412087349087,290.82668925156145,297.222413117701,302.28751661624665,294.77436658397005,294.79602737684286,290.345207789388,296.5361912042514,297.6949174717013,286.94156434889993,286.4720285803264,295.9845600800475,286.9582635939127,299.45528452115127,290.1601596614953,298.32356746306266,297.72738627955334,297.7518542766981,,290.4549872401064,289.3028063610976,295.9231817925494,295.47840421493777,299.3076432428913,299.42209703115856,292.61006634107207,293.1432779869342,295.4132709330582,300.67829622323484,287.9275803216113
2010-08-15,300.1790103191947,292.5684003473511,289.9016394094706,299.7819356936754,286.84816875895484,304.55491378007656,294.17707876239865,290.5875288277186,293.1546104577129,295.7417917141962,302.60297442013353,295.5093669796665,292.8246539213446,289.9284538451565,297.2075542255138,297.6401397078817,288.40890612707506,286.4814246798816,296.67934697359846,286.00004613406884,299.23223632840404,288.73472769194433,297.3766718577398,297.3119468279903,297.6975991331206,,290.47184794506694,289.0252050709268,295.9459457463972,295.57777607384924,299.2606986064935,299.552469457788,292.2734824476016,294.0308985225739,294.7638173591117,300.5728818326581,289.52213246190854
2010-08-16,299.48455217334754,288.64218372394134,290.16005040320476,299.7386047412224,285.578577988848,305.17668106577463,290.5592284214069,289.28594192159625,292.96974497405085,293.88368146960454,302.6512469744717,295.44934613426494,288.64878598937423,290.1292033755246,295.1558964815916,295.05857825714213,287.5978061135343,285.1765476462374,295.29891015386664,283.753630288086,298.55392892938926,287.82626724090045,297.3658306186516,296.72896080664145,297.8816179396881,,291.2639815944598,289.0713036580104,294.57434436440457,295.1321397161488,298.9188822680316,298.91465536024657,291.1981207270897,291.82676527264874,292.33406686816556,300.42496608276673,289.0336347663224
2010-08-17,297.476762176146,288.30983478085534,289.02553951399585,298.2549340566703,288.16787275734976,305.8582516665516,288.1232368268466,288.67773126557677,290.5589398814209,293.04642432387584,302.2262656457817,295.8280070906777,289.3939710167355,291.1370224820476,294.2728114246958,293.1078500409303,287.90200216027034,285.1585369618005,295.2900835876258,285.7445123632207,295.02597581716685,288.175389637916,295.5240565379162,294.724684951069,295.8171664807843,,289.21168571855003,288.8576595181245,291.0200283289093,294.41889925949073,295.9735579053435,296.13369089552174,290.37052438900724,291.60237136732843,290.10898225376536,300.2710063017666,289.12369592600095
2010-08-18,296.52248225536897,289.345953981575,289.96004346267813,297.38510877258034,288.948186236245,305.3433666714602,289.25086776669053,289.4996309874153,290.10798801772097,291.2227536577473,301.50385222819375,296.5773615638703,289.01786325460995,291.4102489831879,294.19656068244444,292.74724098561836,287.2809411476388,285.71204560883376,295.7024740470451,286.8060509276536,291.1374166713872,289.2458393417527,292.1759006705516,294.3384351857332,294.9881892575996,,289.89828964607153,288.95960991119364,289.5302321580059,293.6351566906769,294.5946502311314,295.02914914940305,289.8701779618232,291.98069647587687,290.20972827876165,299.92472578696834,287.9223073461256
2010-08-19,296.7489460020405,290.90715114891054,290.1062181104554,297.56765793701163,290.84814019594916,304.46288257008894,289.56433245008856,289.8730012416252,289.79757749656835,288.19510625502403,301.45220469990176,296.2267099973179,286.8081412831582,292.61142788820786,295.41585458839205,293.8592791711704,287.68873340031575,285.48295802040275,296.9312197161532,288.5016726280393,289.6137244421627,289.6778251019298,288.9694717437346,294.6117045622692,295.3206687770841,,289.9261324363014,287.95480679150506,289.51037619753816,293.9679181804827,294.77965695611846,295.6235526507908,288.6062592845673,293.59895671646376,290.9841266455292,300.04632184213443,288.61896750520185
2010-08-20,298.11210614591397,291.51175176524566,294.11769628864096,297.168983622601,292.31035133299963,304.4750844969115,290.088421019703,292.4886854705499,290.72983503360626,288.1646244231351,301.8752698661188,297.7393354281158,287.0675019631497,294.87708278428454,296.32636072486514,292.98731502277116,290.4144217751762,282.805837742268,297.8243951597618,290.79973420470947,290.22452022818885,293.3838824088895,289.5216014120916,295.8881684919185,295.5700953337721,,293.5078227002225,287.31213914332324,289.9096582202815,295.4104090259643,293.9469093536446,295.7466065467745,289.0531701235277,294.41434714161744,289.8504652604273,300.22711084748494,291.64425979220204
2010-08-21,298.88491652271716,293.3333528376533,294.97021534070575,295.06693161875285,293.94575262601256,304.9866044982102,293.16420528950647,295.06496333324134,293.08986901426084,290.1177893624652,300.2851948832879,299.0531117161232,289.2157294094953,296.2263992742732,296.6087972120679,293.6779817221765,288.31098063400196,281.12049142388025,298.74887870613,292.29125177698813,290.91513626902616,295.78655047985137,290.1935436238971,295.9197826054464,294.682791151996,,294.2547650424862,288.63004947998905,292.3751072575109,296.6315993798669,292.8173123222701,294.5487326246582,291.3449796556349,295.26688713327013,291.64055456789913,298.81478858649166,291.1389896764003
2010-08-22,298.37756622039643,294.3645870230846,293.9012452946292,294.07619957067067,294.56427667488634,304.603022976695,295.21836739870236,294.87924994812,291.6315509242042,291.9870756224091,298.3295764480487,299.0425965707338,290.09697392256226,295.96176954729617,295.9453343412882,294.5121088742839,287.8472981697118,280.17712772130307,298.76433615034125,292.983397454212,293.9405421583142,294.60827466859087,292.7040709860141,295.0980982767495,293.61658053091696,,293.1231993582269,286.7541594354838,294.9054709174555,294.5936303550538,293.2903433596612,294.4242967530784,290.19057576213476,295.0163394759891,293.3668732793361,297.3997705137258,290.1699491613674
