2018-01-01,Atlanta,597
2018-01-02,Atlanta,598
2018-01-03,Atlanta,598
2018-01-04,Atlanta,599
2018-01-05,Atlanta,600
2018-01-06,Atlanta,600
2018-01-07,Atlanta,601
2018-01-08,Atlanta,602
2018-01-09,Atlanta,603
2018-01-10,Atlanta,604
2018-01-11,Atlanta,605
2018-01-12,Atlanta,607
2018-01-13,Atlanta,608
2018-01-14,Atlanta,608
2018-01-15,Atlanta,609
2018-01-16,Atlanta,610
2018-01-17,Atlanta,612
2018-01-18,Atlanta,613
2018-01-19,Atlanta,614
2018-01-20,Atlanta,616
2018-01-21,Atlanta,617
2018-01-22,Atlanta,618
2018-01-23,Atlanta,620
2018-01-24,Atlanta,621
2018-01-25,Atlanta,623
2018-01-26,Atlanta,624
2018-01-27,Atlanta,626
2018-01-28,Atlanta,628
2018-01-29,Atlanta,629
2018-01-30,Atlanta,631
2018-01-31,Atlanta,632
2018-02-01,Atlanta,634
2018-02-02,Atlanta,636
2018-02-03,Atlanta,638
2018-02-04,Atlanta,639
2018-02-05,Atlanta,641
2018-02-06,Atlanta,643
2018-02-07,Atlanta,645
2018-02-08,Atlanta,647
2018-02-09,Atlanta,649
2018-02-10,Atlanta,651
2018-02-11,Atlanta,652
2018-02-12,Atlanta,653
2018-02-13,Atlanta,655
2018-02-14,Atlanta,657
2018-02-15,Atlanta,659
2018-02-16,Atlanta,661
2018-02-17,Atlanta,663
2018-02-18,Atlanta,666
2018-02-19,Atlanta,668
2018-02-20,Atlanta,670
2018-02-21,Atlanta,672
2018-02-22,Atlanta,673
2018-02-23,Atlanta,675
2018-02-24,Atlanta,677
2018-02-25,Atlanta,679
2018-02-26,Atlanta,682
2018-02-27,Atlanta,684
2018-02-28,Atlanta,686
2018-03-01,Atlanta,687
2018-03-02,Atlanta,690
2018-03-03,Atlanta,692
2018-03-04,Atlanta,694
2018-03-05,Atlanta,696
2018-03-06,Atlanta,699
2018-03-07,Atlanta,700
2018-03-08,Atlanta,702
2018-03-09,Atlanta,704
2018-03-10,Atlanta,707
2018-03-11,Atlanta,709
2018-03-12,Atlanta,710
2018-03-13,Atlanta,713
2018-03-14,Atlanta,715
2018-03-15,Atlanta,717
2018-03-16,Atlanta,719
2018-03-17,Atlanta,721
2018-03-18,Atlanta,723
2018-03-19,Atlanta,726
2018-03-20,Atlanta,727
2018-03-21,Atlanta,729
2018-03-22,Atlanta,732
2018-03-23,Atlanta,734
2018-03-24,Atlanta,736
2018-03-25,Atlanta,738
2018-03-26,Atlanta,740
2018-03-27,Atlanta,743
2018-03-28,Atlanta,745
2018-03-29,Atlanta,746
2018-03-30,Atlanta,749
2018-03-31,Atlanta,751
2018-04-01,Atlanta,753
2018-04-02,Atlanta,755
2018-04-03,Atlanta,757
2018-04-04,Atlanta,759
2018-04-05,Atlanta,761
2018-04-06,Atlanta,763
2018-04-07,Atlanta,765
2018-04-08,Atlanta,768
2018-04-09,Atlanta,769
2018-04-10,Atlanta,771
2018-04-11,Atlanta,773
2018-04-12,Atlanta,776
2018-04-13,Atlanta,777
2018-04-14,Atlanta,779
2018-04-15,Atlanta,781
2018-04-16,Atlanta,784
2018-04-17,Atlanta,786
2018-04-18,Atlanta,787
2018-04-19,Atlanta,789
2018-04-20,Atlanta,791
2018-04-21,Atlanta,794
2018-04-22,Atlanta,795
2018-04-23,Atlanta,797
2018-04-24,Atlanta,799
2018-04-25,Atlanta,801
2018-04-26,Atlanta,802
2018-04-27,Atlanta,804
2018-04-28,Atlanta,806
2018-04-29,Atlanta,808
2018-04-30,Atlanta,809
2018-05-01,Atlanta,811
2018-05-02,Atlanta,813
2018-05-03,Atlanta,815
2018-05-04,Atlanta,817
2018-05-05,Atlanta,818
2018-05-06,Atlanta,820
2018-05-07,Atlanta,822
2018-05-08,Atlanta,824
2018-05-09,Atlanta,825
2018-05-10,Atlanta,827
2018-05-11,Atlanta,829
2018-05-12,Atlanta,830
2018-05-13,Atlanta,831
2018-05-14,Atlanta,833
2018-05-15,Atlanta,835
2018-05-16,Atlanta,836
2018-05-17,Atlanta,837
2018-05-18,Atlanta,839
2018-05-19,Atlanta,840
2018-05-20,Atlanta,842
2018-05-21,Atlanta,843
2018-05-22,Atlanta,844
2018-05-23,Atlanta,846
2018-05-24,Atlanta,846
2018-05-25,Atlanta,848
2018-05-26,Atlanta,849
2018-05-27,Atlanta,849
2018-05-28,Atlanta,851
2018-05-29,Atlanta,852
2018-05-30,Atlanta,853
2018-05-31,Atlanta,854
2018-06-01,Atlanta,854
2018-06-02,Atlanta,856
2018-06-03,Atlanta,857
2018-06-04,Atlanta,857
2018-06-05,Atlanta,858
2018-06-06,Atlanta,858
2018-06-07,Atlanta,860
2018-06-08,Atlanta,860
2018-06-09,Atlanta,861
2018-06-10,Atlanta,861
2018-06-11,Atlanta,861
2018-06-12,Atlanta,862
2018-06-13,Atlanta,862
2018-06-14,Atlanta,863
2018-06-15,Atlanta,863
2018-06-16,Atlanta,863
2018-06-17,Atlanta,864
2018-06-18,Atlanta,863
2018-06-19,Atlanta,863
2018-06-20,Atlanta,863
2018-06-21,Atlanta,864
2018-06-22,Atlanta,864
2018-06-23,Atlanta,863
2018-06-24,Atlanta,863
2018-06-25,Atlanta,863
2018-06-26,Atlanta,862
2018-06-27,Atlanta,862
2018-06-28,Atlanta,862
2018-06-29,Atlanta,861
2018-06-30,Atlanta,861
2018-07-01,Atlanta,861
2018-07-02,Atlanta,860
2018-07-03,Atlanta,860
2018-07-04,Atlanta,859
2018-07-05,Atlanta,859
2018-07-06,Atlanta,858
2018-07-07,Atlanta,858
2018-07-08,Atlanta,856
2018-07-09,Atlanta,856
2018-07-10,Atlanta,855
2018-07-11,Atlanta,855
2018-07-12,Atlanta,853
2018-07-13,Atlanta,852
2018-07-14,Atlanta,851
2018-07-15,Atlanta,850
