wdst	wodst	permdst
AL	2022590.39366493	1961504.66707109	1968853.38626181
AZ	2677191.65697246	2677191.65697246	2555691.73307243
AR	1231824.33844708	1209734.91342165	1178389.6824693
CA	15815857.3790212	15389567.2714744	15256407.0421508
CO	2138164.0638961	2086334.3102678	2038928.84446292
CT	1516911.54259212	1473879.60230133	1448896.71812609
DE	380572.892143223	371555.971879727	362723.857015021
GA	4029143.40286759	4024526.93153387	3821167.86122332
HI	567088.80561582	567088.80561582	546286.190815911
IL	5445790.34261895	5294924.50085415	5197124.82494472
IN	2722040.57044907	2684219.24309799	2564786.3208703
IA	1280713.47099635	1259861.08420742	1204707.18075309
KS	1192832.74974308	1182580.97085807	1124443.95779355
KY	1810966.78723254	1798314.65174162	1707169.30670989
LA	1912844.70020657	1874491.35418932	1849604.39284634
MD	2441355.57865553	2392255.95655571	2320528.66871277
MA	2781993.14954882	2690807.90368662	2667486.3766624
MI	4048122.2746782	4043390.01421855	3765674.23842701
MN	2213112.67479958	2181272.033866	2063328.48155058
MS	1254885.3482443	1222222.51408397	1217676.44683246
MO	2529409.24360288	2483062.14952344	2404026.14701379
MT	408180.11837947	404187.360832972	378262.579803053
NE	761109.116740962	754505.98725618	713402.749372074
NM	875755.998549103	857270.447892613	841115.903394177
NY	8215678.39375943	8002241.72125778	7815335.58863891
NC	4012978.21705855	3960046.7573675	3819592.56796931
ND	274151.047462672	272875.645807567	253118.361528263
OH	4781057.68885008	4756631.00287009	4475498.15119714
OK	1567563.46927148	1558224.96153594	1484455.50097799
OR	1602269.73227445	1575669.60446588	1498730.51339684
PA	5365352.95107885	5261884.6648015	5079501.64703269
SC	1937099.86826439	1921886.97577082	1841858.91886079
SD	339217.036652243	335351.889787131	316753.065056645
TN	2684962.13990637	2632229.52210759	2569070.45990902
TX	10513462.9179931	10466612.6601995	10041459.8070954
UT	1152011.20568666	1143914.05171113	1080830.22766977
VA	3378595.67115228	3317840.11368349	3213216.22718959
WA	2804732.75395546	2752574.77931629	2611030.87006583
WV	776928.801646496	768265.964188947	733115.193079762
WI	2411673.13955193	2346152.68639823	2289012.15567796
