wdst	wodst	permdst
AL	2020840.09237058	1963746.60773565	1967649.57374945
AZ	2658721.56864197	2658721.56864197	2541450.84733919
AR	1228189.79999122	1207367.39859187	1177628.68563892
CA	15755178.286302	15362147.4416186	15203120.3399463
CO	2124454.09886167	2075704.4511258	2025808.94469822
CT	1509867.96781068	1470155.059077	1444387.60786896
DE	378308.802346978	370499.110472767	361291.416741768
GA	4021777.71117354	4024742.08143737	3812639.27084447
HI	570353.646203663	570353.646203663	547691.051899188
IL	5418833.67933261	5279496.3237129	5173037.13779145
IN	2707339.58102979	2674247.90883127	2551018.54973302
IA	1273161.85141289	1254723.07231826	1198762.39369069
KS	1186733.83255151	1175860.03469527	1120113.68885187
KY	1802223.00300136	1792113.01248166	1701436.37907629
LA	1911228.35192924	1880905.1713828	1848937.31907919
MD	2429773.23209245	2385259.04743194	2313000.8722405
MA	2765254.19471973	2684905.62354313	2663763.99280252
MI	4026694.06458481	4024119.02399501	3748139.80547358
MN	2198863.82142665	2169548.87278343	2051603.85363176
MS	1254827.16971373	1226407.44459681	1215097.60371973
MO	2524020.63631938	2477584.71292238	2392154.56913235
MT	405322.751914341	402037.069203008	375691.115132037
NE	755762.783863643	750966.563992581	710122.866309193
NM	869316.693928045	852311.236761351	834481.401040863
NY	8174658.12337894	7987142.05351255	7760896.84695759
NC	4004308.57172722	3954265.95107242	3809848.24501005
ND	272204.969306815	271233.599004208	251382.746367364
OH	4752750.2950823	4736751.797412	4451058.10513362
OK	1563798.41424585	1556279.68565697	1480480.63653251
OR	1594601.34212251	1572037.90342512	1492733.20443148
PA	5330029.67401579	5248411.31723767	5055365.01367223
SC	1932143.22495007	1919852.67482829	1838165.93012931
SD	337103.216025613	333713.579202465	314788.78328796
TN	2670623.80842319	2627136.50240896	2558021.2834514
TX	10498489.6248535	10457942.4937142	10038018.8354356
UT	1142003.99089033	1139401.50184074	1073253.81301207
VA	3364347.28790617	3315877.93139815	3200861.42826629
WA	2793374.11721108	2743766.134648	2599369.32006115
WV	772473.822838737	765987.47385092	730076.157415037
WI	2398296.02824949	2337607.24485982	2278264.8898238
