V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
3084973.48240158	3080771.27546116	3083245.4554052	3083650.16048794	3085728.27087434	3095106.33994394	3082975.91467134	3083840.66203153	3090242.67219973	3090958.47417541	3082524.43347213
3202970.55527648	3198681.98747656	3201315.54165774	3201490.67835587	3203820.18436948	3213130.25322277	3201094.68534148	3201644.29425102	3208388.16853464	3209093.84875024	3200767.83174512
3323203.72182139	3318827.09491612	3321634.71300702	3321559.68999302	3324149.15955215	3333371.64706578	3321459.29024072	3321673.31413026	3328763.50168881	3329461.58853704	3321266.96469797
3445533.45702792	3441070.84548617	3444056.60057007	3443719.45932155	3446582.55537146	3455684.99062095	3443929.73996632	3443789.99137396	3451230.70851854	3451916.52174151	3443887.32930431
3569798.83115916	3565256.01710463	3568427.36012387	3567811.03791683	3570961.6715231	3579915.41806899	3568349.68896274	3567829.02625902	3575628.1706789	3576305.86063054	3568470.53220776
3695825.62506751	3691214.25510167	3694567.5545636	3693656.28688763	3697111.75715123	3705889.56597619	3694547.0768126	3693631.62088269	3701785.06751857	3702448.22899697	3694846.33088226
3823435.32683703	3818758.06860496	3822300.74032868	3821075.71083561	3824848.56601631	3833421.66800816	3822333.32445855	3821000.03248927	3829514.05484807	3830165.02087306	3822825.24232982
3952413.7279812	3947678.54307624	3951414.42607507	3949863.49552586	3953961.70910112	3962309.80014273	3951500.09971838	3949733.43934853	3958602.33196791	3959241.72100948	3952202.82853768
4082542.28923786	4077753.59392744	4081685.24812194	4079796.19084363	4084234.22930258	4092315.39909486	4081823.86496538	4079605.83474749	4088831.59367781	4089461.60335204	4082757.75241137
4213583.79584815	4208747.05387275	4212875.9215053	4210636.17451534	4215431.0867871	4223205.306765	4213062.67831117	4210377.16727394	4219957.78862375	4220573.37252786	4214245.92681173
4345273.35541804	4340392.18499053	4344720.61250725	4342125.31216453	4347281.53994422	4354721.28055886	4344962.91880694	4341794.42935233	4351718.73805169	4352327.74509204	4346405.50067179
4477334.42605465	4472425.09844644	4476946.50509209	4473984.56723809	4479512.84882934	4486587.69478213	4477243.43304374	4473585.54328003	4483842.40427811	4484440.96059064	4478955.24457683
4609475.84774143	4604548.42356241	4609257.61410635	4605926.28717078	4611829.27852457	4618511.21516646	4609604.63236217	4605453.53929048	4616028.59235972	4616617.30698425	4611601.77206834
4741384.782482	4736445.05112227	4741344.93532528	4737630.10808369	4743922.75894052	4750178.5460744	4741733.85049707	4737089.46097143	4747971.38610886	4748548.79358624	4744029.89967809
4872734.10029548	4867786.82124115	4872876.543777	4868783.4834839	4875464.86888678	4881257.14909475	4873310.27057337	4868159.65646632	4879336.16845191	4879904.89526433	4875915.98518069
5003169.41432847	4998229.20128582	5003507.21354448	4999031.93152283	5006108.04005946	5011407.86250556	5003974.03326082	4998323.4014434	5009776.15388746	5010327.99324159	5006906.81767388
5132336.55137502	5127412.45075073	5132873.25417966	5128018.14650243	5135487.20521303	5140272.50557362	5133368.66464613	5127217.58662129	5138928.74798441	5139463.86877358	5136637.68908661
5259865.59713469	5254963.86188849	5260597.64249768	5255368.38076986	5263234.61007575	5267475.20471454	5261124.07651429	5254480.21428881	5266420.11042515	5266934.53890148	5264731.56781499
5385363.77312806	5380491.60107834	5386294.85049521	5380691.42652045	5388958.56109135	5392625.18758268	5386841.70643336	5379717.53763612	5391855.00806377	5392354.60193313	5390804.28292224
5508435.93298365	5503599.14544721	5509558.47890547	5503595.59693609	5512245.49505835	5515320.61085529	5510118.20343604	5502544.5990383	5514850.12559172	5515322.26805475	5514433.05229612
5628659.47482136	5623877.28611103	5629976.53968698	5623660.36769531	5632695.93588754	5635149.61626451	5630554.07073535	5622529.51064766	5634972.46644821	5635423.874448	5635218.07984036
5745618.57450457	5740901.92110392	5747135.04434105	5740476.04550353	5749886.86913508	5751698.73228716	5747716.21128648	5739266.28002352	5751807.43912537	5752240.88845004	5752731.49294274
5858891.30273879	5854254.26939267	5860601.25121808	5853612.23622129	5863395.83161616	5864548.17553682	5861184.93714447	5852333.64537523	5864924.7978602	5865341.6623159	5866548.68757711
5968051.39783645	5963503.74902709	5969955.38530101	5962647.78616531	5972793.11378496	5973267.21684403	5970538.02283673	5961302.52659485	5973915.28419843	5974302.97313802	5976237.78391589
6072674.96979256	6068227.49574557	6074761.72781214	6067157.25281539	6077641.81579313	6077435.9629503	6075342.79344603	6065753.50390793	6078344.61084274	6078703.50431899	6081368.74299467
6172340.10805843	6167996.02554301	6174597.06482563	6166716.51549025	6177529.09892798	6176627.90101693	6175172.32788344	6165265.07703779	6177792.09050272	6178117.57095194	6181510.5275464
6266623.89650782	6262400.30496216	6269047.7499757	6260914.91692539	6272024.63839225	6270429.8658325	6269616.11476961	6259427.33088556	6271836.5207695	6272128.83872533	6276246.17039621
