YEAR	WEEK	AL	AZ	AR	CA	CO	CT	DE	GA	HI	IL	IN	IA	KS	KY	LA	MD	MA	MI	MN	MS	MO	MT	NE	NM	NY	NC	ND	OH	OK	OR	PA	SC	SD	TN	TX	UT	VA	WA	WV	WI
2010	40	0	1078.20702556425	0	23868.426393023	263.707089687619	0	35.9622567	1487.81955021053	1518.3024195253	0	0	0	NA	129.2155008425	3418.50717413554	0	0	NA	597.783547058824	0	0	0	0	NA	509.624704498	NA	125.4298141125	0	0	0	507.584177935682	312.65147958	0	335.190282456731	3450.4387935907	497.962833484337	3811.9211968	544.411286688889	0	0
2010	41	0	3059.75925763596	982.893265563	9839.88968379877	402.733531046624	149.293793897368	45.3333665342466	2976.79421071031	1867.55034736498	18615.83566248	0	0	0	381.141068166667	1428.19351488	0	0	NA	897.180460945312	NA	0	NA	0	0	546.919562928092	0	127.785387092368	0	0	0	0	416.567355926118	0	0	14831.914366293	610.638783879032	0	0	0	0
2010	42	1687.88989975273	1088.20094414375	0	23998.0778114598	264.285893328105	188.348871172676	34.7846214195402	8637.60338618924	815.996768668598	5430.72104222703	0	0	1368.7833605	0	2294.77401735	3998.56966346667	0	NA	0	NA	338.764511316	NA	0	0	429.187625342018	0	0	0	0	0	771.849985634414	0	0	434.273527773973	16253.4716627446	63.4229554664063	8404.16130925714	0	0	767.88528465
2010	43	8500.835159375	2582.38648984909	804.112987133333	12756.0206340857	847.194143512593	309.639340668571	0	6918.92591262265	2576.33236251429	0	0	118.759232952128	0	0	4285.68099847059	2152.6688632	2332.506521595	NA	1780.209387	NA	0	NA	0	0	946.444957015238	0	0	584.843957703385	1424.43060368864	0	1152.28952040503	0	0	432.006257625424	14226.9070832179	985.555760823113	0	2266.82661155294	0	645.690166644944
2010	44	21592.4989429217	1131.22482349403	1870.09828061176	28734.0576033153	599.619006034356	0	0	20410.4632833926	1311.49280868478	7493.59225003922	0	170.776757328125	980.838792215714	513.069042377959	6703.0438392	2623.1050971	2533.06252371857	NA	496.966671261628	NA	392.8736112	0	0	0	2554.7944341035	0	177.800427281111	1777.04462114667	0	0	5475.58137888913	0	0	0	16552.7244056078	1601.47849974667	0	783.403928859259	0	1065.93560327179
2010	45	20105.7674011514	2210.711039535	3675.16165945263	33614.8566530066	852.846075929245	178.460247736563	67.9573554704762	52002.7641502477	261.866862506557	5538.27102151111	0	0	0	860.139683702222	3134.4435303116	0	0	NA	2032.64250981308	23328.5922843	0	0	0	0	3364.54509935056	2165.29023540286	0	2636.48136928235	0	0	3709.41760983898	808.213176205128	0	0	11418.815935295	1495.13894566667	0	443.006053679012	672.523041666667	539.39236113578
2010	46	29591.0794876041	1015.91383232609	1813.257776464	49656.394015696	681.911951351688	789.935430771071	43.3313017266667	83620.2449030615	735.987350119588	21667.2209890759	0	0	0	1786.70061161778	7089.8412124	12373.0518532571	3288.08014668375	NA	3727.402244775	40772.9433161538	0	NA	2681.98729286667	3292.87889843333	6024.91703737606	4400.57091602571	0	6363.36454789241	7393.86868745882	0	7071.01837395471	357.42853092	0	0	20217.4360731705	3623.36343368231	1946.17923779048	2944.90611605263	1051.80571925	1047.91573831475
2010	47	35824.0474065567	9452.95940165217	3282.0115049	31687.4465063462	2035.82123939298	648.415392244051	0	99581.2417058676	1576.50039770798	30670.1063790526	0	378.094454324419	0	1836.53923427843	8781.2548983	4469.12895544615	0	NA	8983.70656615385	NA	460.258804504891	322.043788881818	0	NA	5580.21115068614	20087.1306383667	162.122158220816	1638.551294065	2072.8558869375	0	18773.4387017867	778.045368798689	315.758827513043	0	39558.4891435655	2586.39968047296	4199.91816588387	6166.50193198601	0	1834.07360813604
2010	48	38155.6550588404	12238.1188711788	3008.68739118518	47508.4320794422	1962.30016280388	489.681503015876	134.692594261111	60623.3347228543	3690.71227047561	39004.8005142	1513.77837173105	1344.45475722133	1466.14397430857	20456.791449878	5429.49230248989	17213.683628544	0	NA	3460.47934244492	NA	1555.7842650232	18.82460979	0	14695.84572825	17343.3301776991	19089.8338187535	53.0564238654545	3183.77454771158	8045.78508427	2751.768508424	14161.8083526592	865.294425925871	1126.7640565	2764.07862085676	31022.9732073894	3533.23516545924	0	3395.27903769257	339.04670085	3036.58768010924
2010	49	99570.4052027321	53948.2810505179	1488.05127376	63251.6291946	2160.20431119151	4806.72359546491	70.4987503704348	79700.8284379634	5192.97494279076	68577.7540966154	2851.54610199815	1063.61887346159	NA	6581.79969846387	7617.56494207189	17473.753700839	5278.971317675	25700.4595032	3141.14565298987	NA	3631.40973615929	23.70968145	1096.74895193171	6837.15086738571	49859.2081080149	14627.6931477825	106.50702682	0	9560.74772370545	0	25235.9493685042	849.222086495455	1527.51986741936	7017.33252585	53938.9001354854	9234.81254460465	13596.70015488	2204.21607482524	600.075089608163	1605.07234796029
2010	50	214871.3405888	65612.7907119246	8185.99267757333	72206.0585317632	4026.62344727058	4499.35695693464	134.6452033	140977.662997174	4111.1773681203	93199.8129836833	10206.6899575086	10577.6355624756	5679.46058492308	10929.147083668	35898.424825699	36506.3082889185	15173.1141961034	27159.7036123636	3553.19115620192	NA	7227.33189272027	206.65403027027	2570.45584830435	17709.0477778421	55157.6015551294	5709.76548768857	47.474163144	0	5040.42379533947	2969.03978251111	40928.525911585	2206.71373482	1925.2222407	12206.2164240698	139602.13939292	10663.9027103774	7383.85027503158	1072.52934789655	1554.90079633778	3390.08920576216
2010	51	283273.488999849	78044.3869875628	16381.8929965289	190645.821402218	5942.46928286421	9825.1014260486	516.349148852105	171169.175200956	3939.05858486857	227409.498904976	23297.8036491909	17582.4350654937	8130.27022737059	14389.4724679697	42420.9878762557	59279.94516	0	22532.0306172	9977.10536150442	NA	13363.4065208	194.10682698	5289.94906282174	11709.0409084	132621.312819606	39411.9570210931	92.707253076	1943.8391793307	54991.0496777025	12143.7383652	88142.5245521887	5448.84141006063	3885.59030577143	33541.3907976493	244085.495987646	15274.5639523554	13870.3014871579	1626.9057877375	205.26541035	5041.79016922015
2010	52	212645.926469053	59898.0807407184	17681.4406536471	178267.782308163	10662.80077528	14960.5095213813	397.413095405217	124992.863796856	17327.7991534476	189443.156997645	55163.3332624431	13765.8899833448	19466.2534904	24398.6736724971	63815.2576353	86240.4824756757	25493.8482744	64666.3922679273	10659.249855	NA	19174.8170719812	557.854339896	10197.7592660854	13298.62413745	199056.340678097	75800.4150119	NA	6934.45796185333	51254.2846472348	22000.80443665	122150.641255437	7311.6597771	6205.924214	46301.5871505319	172834.129880695	11852.7852628024	28556.505828766	6124.36235214815	3696.75486057178	18045.2290398171
2011	1	167311.144168235	65081.3678940812	13477.0642517412	143352.475309253	7251.25608417467	14866.2133543524	1335.59384668882	77211.2248123678	5977.6592118254	220438.911611796	55420.4761344754	7145.46858967089	12428.5848011294	25132.1855178987	49188.9668021209	51985.8884232	12867.6187651	52571.1959377548	7478.29784648571	NA	11661.246421857	NA	23023.9563420226	32645.2394779902	120697.187539441	49493.35238252	142.5360227928	6679.87676829874	50653.4890068726	7806.5794898	95177.3301762496	6880.32617102675	7071.28979488235	28480.146479796	185362.19134756	4109.38145050041	30031.3228824381	13896.9769628959	4664.98023685683	9895.20702725264
2011	2	230198.25316129	74233.5524577071	41800.7605448113	295473.825248273	7045.26324191471	14396.3224495517	6320.99424050977	63800.4984511838	4868.34921965208	246355.017272929	68759.5760096471	7410.66934074515	19077.3101043778	11039.2173240927	58201.2327816818	93136.66727904	39761.5347964154	61268.9327181333	10054.417400266	40706.2247843769	21930.8650900267	751.975730445205	21265.0044275016	43267.5154795275	156199.879417304	157086.831780775	134.462633635846	24920.0268361532	103160.992991509	33612.5151703467	112740.427729187	13496.316072884	8210.36434978723	46231.7141133707	278338.722073805	18427.1612380749	40015.1580945276	11153.2214046259	4451.46055711203	16233.068378233
2011	3	249469.860810265	94597.6896413271	65092.6618635012	233037.021944606	8401.74350304548	21611.138805088	8137.39835819625	48547.7425501796	16544.0913164982	297095.983971256	142719.506568224	15141.1021473969	32183.2238755185	31690.2525554333	109648.248397815	175261.13855931	31964.581919424	77551.98126	15125.3281083075	NA	19221.4948521573	895.678147298361	27800.3845223902	56195.09100502	136561.64057973	219601.752806927	944.689758560769	39135.9587970207	176989.186769405	27347.978083725	159708.736016359	17589.0867474955	12660.1198594627	70918.1402724088	370229.857743146	19551.3153548443	105943.1589888	5752.69808167458	7603.14460234382	32027.6742329419
2011	4	300030.047646815	93285.895100125	92999.3888126702	444771.807198859	16693.310387811	16025.5630464854	8329.26423339406	79433.9023126677	12120.7423195692	238993.649902421	240416.532491344	41943.1034348857	59047.9226285091	35451.400441466	83171.0650156089	166941.521264291	39052.15459728	110026.3606988	23083.5523021387	NA	22412.2817728453	705.01076784	43048.1069717368	65324.87980125	166289.071919441	312915.666150755	1686.62856278049	69330.6396762	323634.612365959	34368.3558863273	287272.845399816	33154.2123012426	15733.62141	119018.03656941	448567.832894158	6996.80161150669	127788.168263627	10606.5292306087	13994.9710151952	65397.2390350824
2011	5	257575.718246104	88585.3998416982	87477.6466034538	437287.000237105	28461.7906114827	27060.6565065073	12302.2606294516	95806.7530122798	13384.1805259737	209167.970043375	179014.712197597	45263.5741957803	90050.3820415238	51943.7640736075	140502.701941277	176801.068501527	53298.8825422522	127200.250435556	43036.4101448713	46622.3530668923	44413.5989459842	3273.93373801395	49346.6783647942	91380.8707960212	203786.634475925	407800.472517291	1763.10918628877	97755.7659835247	231541.419400831	25507.4871573333	280162.759114847	64831.69382161	17309.81038396	149249.577209211	599042.358102926	14635.5744024816	154785.205715336	24432.8201240408	14268.6255320979	86263.3239854798
2011	6	200691.167621838	107325.896329077	86394.4902969867	429357.705540695	27116.7979462461	27077.9299905928	10933.6527467494	122921.641372571	20827.9516431237	116390.695356343	134829.996445959	27755.5730084606	73917.6558084324	28917.8842696053	88708.5265541745	149571.067511218	63440.0964288	166364.307627304	46879.0368016986	NA	33290.9516354383	748.256270475	29263.6251393718	70987.8200492308	204314.768778888	363530.753892	3019.72236307438	83692.629626368	127877.75191258	39187.0111076364	249241.090860061	53967.1649585214	16536.9211850732	171395.577141176	668230.662437652	25324.2782212576	127852.556878966	19178.5378925367	21273.6934266027	92692.7397166771
2011	7	194408.104941359	106241.887712504	67191.8706564985	537176.406032635	35293.1891369924	34213.6362664084	12500.6012577087	126347.644972196	30286.6213182638	123719.092707926	125871.098766071	39772.8481512186	99568.290283875	14077.2352879242	111682.300141339	137110.960862987	69943.5462941875	181551.3971232	43448.8031856936	NA	36569.34649032	1892.28856835455	34459.6659937287	78048.8754646521	237561.645154658	279200.868796769	3751.12870031868	57353.6014526222	124023.299984815	47658.6732386471	213951.140945333	35016.8249035105	23086.4101917391	150463.148323448	764882.214869566	21378.5791099168	133341.8655744	45331.7037725094	26428.641760803	78189.9001617744
2011	8	134708.230312095	80712.5386344433	50042.2329976899	458489.463967615	28506.5745364341	35107.2619253058	10512.6491801145	82172.9492919758	25455.4177909124	140045.907632032	74374.8503582756	28406.2274702578	65543.9329684059	30169.6249877838	69486.3699478704	104678.557369657	63890.6157045863	214295.5010976	51171.7407485465	80166.7782881538	40959.534724	1990.16822475	58954.7014506267	61711.6255400812	198063.686024206	183673.744943733	5306.24843779412	61311.3477517911	60563.7398102286	46775.391089307	234816.558999073	33080.3488037799	22984.8214246452	67175.5403849536	407418.580398094	13956.7023007311	87714.8715756072	40909.9904090412	16496.9106156082	76413.5292471472
2011	9	87942.0453208721	43475.5137740041	44939.9338214667	392215.138824674	19635.1198698868	20171.6805096353	6296.41011374851	46274.3324204921	25674.3227303787	174253.032519043	40967.8273411022	34954.8823447883	64054.2628456727	17099.613730464	37686.9535015404	78971.9593428444	57258.68822355	167644.02084	52133.4274762274	NA	22719.9909623549	2623.7133822375	40412.5541136542	49774.16591115	134292.908145626	103680.754639752	5745.77944370973	52654.2158882171	26932.1052605113	36088.9835894957	129770.659998281	14180.8849490669	21495.1885886239	58526.328153637	210554.203477372	9149.75503341027	68944.7474623512	36170.933454782	17471.2498366322	92949.4251417438
2011	10	68997.4602723681	40475.3396468936	20241.9770417553	368417.995998364	12360.8063657287	15029.9414401137	4674.00000430588	20037.3426222663	23158.237328686	102329.101687	21011.2932082931	18384.746622419	45466.2250131091	7139.7896436776	23919.5178638308	79177.739056	33014.9736520714	152352.008309647	50084.3619835096	NA	22194.0719507169	1809.3889171712	41370.6275514231	29722.1631159484	108664.06321514	87561.7055844868	9427.28339560155	22754.1325754517	10312.7236079154	76804.4457091167	103533.569847266	12637.5507047178	18786.8202396585	26283.363490802	104228.135792432	11181.8593697481	38140.1571773793	34244.9726215825	7265.13534645492	83770.3326870055
2011	11	33843.42262028	20618.1174295586	13405.0992346969	273946.857149616	9992.48647276769	10050.1006240285	2260.54477623656	18288.7896720719	13173.3103469714	88416.8508584946	9025.6004708358	19912.4138857303	38599.6823745765	3148.55593542045	18343.2815135379	52690.958247033	19694.899151493	148375.629664364	47773.6383241406	NA	11528.5483630227	1633.91442033418	16307.4517016832	28572.0590153077	97598.7796281	42291.48813711	4658.9958200625	29120.8158351181	12598.5492995323	43261.9161440678	71608.8031068848	7484.85354797419	15839.0818438519	17153.2432055122	46866.5891946916	6100.80405787226	27228.60481536	46906.3706235319	4515.20137976471	100145.488802589
2011	12	24651.53621736	3685.4436568924	3818.67520933585	160427.638270276	6402.88919078656	3211.92183733333	1161.69102627575	10131.6741070911	4556.02233788121	19326.8176405486	2617.30259982061	4846.56275839506	NA	558.768869203158	9501.61110234252	51349.3941328	19784.05388124	75241.4094069678	35001.4474460106	9021.11699346	5462.72825347388	1836.3300543	9971.65951857778	15809.6081298346	83217.4059418142	38436.1697611429	3358.95407265441	7766.07519670566	3894.71513071667	37186.9415454688	47720.8996140563	1450.38752844434	11483.9955527869	2611.7018488748	43161.1536465993	4127.4780560166	26849.4709381039	34933.6675809083	1613.47516141479	19264.2478739779
