AL	AZ	AR	CA	CO	CT	DE	GA	HI	IL	IN	IA	KS	KY	LA	MD	MA	MI	MN	MS	MO	MT	NE	NM	NY	NC	ND	OH	OK	OR	PA	SC	SD	TN	TX	UT	VA	WA	WV	WI
cos	23845.653097911	18145.7714065279	13334.5533645304	52983.7800595169	36398.9287938312	26725.1661734011	77990.5965144292	78219.0313016631	48520.2535060049	24392.7562784002	15023.1730346491	24811.0073186083	4536.35112143047	26648.6191552277	41205.4132025439	24224.6615898546	24908.5928348361	63748.1564309741	33204.243021552	6424.38263354003	32351.3119706869	104231.725418791	14575.6875606977	17970.274531601	80742.7581197437	12102.174250495	20850.5893099985	72335.5718215081	10528.0490114584	40707.197007511	24853.6716320346	24122.7918666234	6301.63562713314	10193.8694491838	202090.598448676	43381.2207414673	16096.1952875968	39679.2033993957	21863.1585051642	70680.0851417203
hum	24754.320755897	16094.0521420309	13556.0554269672	65386.3208289866	45580.5010983124	20081.8748716975	55927.2566060398	80408.2116132521	21217.1287481357	19942.9569701526	12603.5542592178	17923.9725940932	3904.95425256117	24559.0077484338	38740.7386257279	23803.1223192573	20028.9093691356	47056.3991148376	27187.5292195026	6248.56641793012	30528.0023246469	167229.946137687	11529.3103660569	23390.0779270258	63404.6481328545	13012.8820790582	38476.6950806839	49178.5559838495	12867.3067082264	44039.5836218927	19325.6787346238	26645.4155542573	7010.937366117	9562.73433245156	214948.656985393	70275.8281772338	14008.3838012487	57489.5406770875	16066.8675818445	60730.6126162962
day	13515.3830297833	10304.517655725	10901.9863925757	26794.0229871257	21596.1442983611	17824.8013125688	70598.0851063071	39389.9239998733	21043.9025322985	13983.3274393749	10187.7817254308	16086.0810229764	2971.00375672167	34141.8079728994	21602.4078154727	16491.0616568741	12798.5430278768	29329.7452848452	20509.6058065006	3493.15883957471	25617.5767717994	111431.330042422	9923.84560167373	11858.8327352418	51046.7987866875	7618.4595435476	13603.7251731038	36991.5498831337	8752.73285277935	27353.687296381	14823.4328962644	16993.7099047835	3972.16744305527	5801.60811542742	131577.403868108	27131.6983735301	10969.4541762159	27776.1853464685	15391.2419057396	39142.3566987177
sd	13583.8496872226	10240.9190243937	10809.0678967103	26848.0404693046	22182.058637719	17739.5510360706	71324.3350598671	37236.8713651921	22542.1565641105	14314.57836061	9980.57237752905	15549.3114305015	2987.7205287627	36226.7456737736	21711.4171219282	16342.6435151581	12362.896094055	27778.0094646647	19016.2819416494	3540.08002525077	25124.3115750805	110878.472842478	9275.67080585845	11675.0236727457	50209.0424444217	7653.43613463338	12685.1264526167	37400.2102327827	8855.28483290983	26172.9338126158	14629.8533530653	17020.9147930114	3840.79661165021	5782.25660777778	130127.721759997	26014.988973235	10906.4563805109	27185.8934824548	15390.1445503511	37178.5769566741
hd	13529.1144126964	10316.0536618031	10922.3206433306	26780.9275760004	21603.6292000476	17810.1818660133	70663.9456099511	39419.9456274763	20993.5877985263	13970.9341754499	10173.315956771	16050.9276502264	2973.58143056862	34478.4545411811	21639.9235166431	16525.5234749661	12794.0379603831	29203.0054136743	20333.6867183432	3497.88299530411	25655.4940104905	111606.621763484	9916.86266256286	11840.0221256448	51140.207570888	7616.18822121011	13520.5969258712	36840.2108095066	8754.76217534877	27378.1480164701	14857.7233337356	17011.9715721754	3977.87631519083	5842.09906689073	131673.79665371	27121.1054197125	10947.0557527076	27616.9245478488	15361.4880392806	39079.0167190964
hsd	13756.009558809	10232.0321449638	10755.6905208818	26604.3651853733	22038.6777448736	17763.6503967122	70986.465455486	37567.4920972019	22079.8228113821	14432.2539077525	10008.3990399714	15670.3205522526	2978.94643174445	36733.6032737189	21868.3590706413	16427.3347508645	12349.5203328438	27762.3476543332	19017.1684050326	3575.18459214587	25082.4783073846	111785.842942131	9274.76135523387	11716.8188353424	50324.3543727851	7605.45695601175	12711.6470025831	37301.4248382287	8838.95089276337	25611.7077791679	14645.891167128	16989.3037100688	3839.69811654459	5824.61812232742	130609.510691642	25782.8235671597	10857.7644115864	26808.5336471887	15339.3797066602	36962.1718784671
