AL	AZ	AR	CA	CO	CT	DE	GA	HI	IL	IN	IA	KS	KY	LA	MD	MA	MI	MN	MS	MO	MT	NE	NM	NY	NC	ND	OH	OK	OR	PA	SC	SD	TN	TX	UT	VA	WA	WV	WI
cos	18801.9311341932	15133.3866063021	9922.4500893302	41181.9412330429	30137.5480208738	15002.9643398005	15986.0445264257	60041.7146865897	42385.8727014629	21600.1457772823	13025.957092508	16283.4772291094	6038.15797589427	19084.0578777928	35067.4672594409	19465.7935178198	31191.1378265265	88155.4740573691	27019.876330294	5539.3792147489	25140.4327250233	17031.7890199443	7563.27501304075	14210.0287528145	54240.5304764813	11197.1132034008	12707.910394199	69286.7577649627	7328.31750039597	48863.8598933183	21221.5634308614	17657.0749699902	8553.80094506027	9460.26839442976	151712.155266302	37517.3392485499	13195.9697801741	28336.3358416259	16102.0758982178	64238.4690449625
hum	18873.897821336	11716.6235690119	9450.38949298152	45978.6363473195	44778.9916062871	10847.6170377316	17738.1415335004	64087.8108165411	14320.3967879892	15281.0685091471	10666.3829295324	12808.5769068123	3551.50057575572	23574.9415902508	29460.9811663694	17714.564341404	20689.9754934897	65732.011917292	20432.4491076889	4900.97834165086	24363.110029324	27253.0360070733	5988.08061100798	18767.9908346644	35553.4526457323	9706.10076900672	21805.2417129013	46681.521871763	9271.53860883674	39557.0723560516	13733.7289527418	21335.4629682942	9073.88092970016	9897.6394051754	157418.27471414	55832.879110332	10266.2000258742	49520.4253511686	13616.2925735708	47116.3874448287
day	10605.3495381909	8208.5193062331	8789.8109485306	18689.2417778436	21609.7292627554	10778.5116429682	18888.6174030751	32492.1591108836	17995.636716029	11313.3035028571	9344.91261695856	10364.7661491857	2733.0504489058	26236.1137496199	17211.9718677323	12882.6613464382	11456.7426267069	37068.1861396308	17429.272874243	2869.22081752164	24535.0629090509	18234.8070648718	6204.27542766678	9117.92539355475	35751.0843774847	6203.66378379865	8873.7943919979	36384.9824362539	6962.92467063158	29369.3416309468	11966.2748451051	15406.642818818	4656.71833290467	5856.99198132738	102456.022240728	24941.4495502274	8996.83323818109	21153.1233656525	13431.3100117465	31444.9056024723
sd	10082.5651987713	7609.28923518462	8112.54592074546	18333.9421736105	23184.4463173311	10161.8904653455	20149.2698001449	29411.2425366481	19755.3257361435	11216.9102370985	9122.58361639671	11139.624150914	2746.17048448188	30014.114267655	16585.2685819735	11906.2922520538	12103.8310317574	28336.0260671461	15443.0237140719	2837.66374425399	24474.9400568591	20574.2233738757	6021.92645851231	8386.68409964719	33010.3705285891	6102.98431590706	9333.36717253349	39037.3438365825	6782.08351283363	27177.7282948719	11444.2207144617	15992.6241875716	4765.78513150368	6171.40445601935	93771.7305532181	24175.7776074258	8548.69639655182	22018.8408863611	14759.0403324921	28051.0055933963
hd	10593.5435289887	8193.0823721597	8805.36709006589	18740.3042244463	21600.9682222899	10753.8524007042	18886.0853656627	32403.5655178489	18068.2539387254	11318.9110681876	9311.83657158668	10375.9511059539	2740.4368945779	26159.0690952635	17222.2401757388	12890.98190257	11471.9767614316	36990.3630446994	17366.2575292929	2868.56025046108	24503.1705841777	18205.1715870446	6176.95278891182	9133.16398452513	35673.5474207136	6203.55379993866	8883.16894865861	36891.2060951395	6947.80674601914	29320.2235213775	11995.0128150692	15374.6952220739	4647.6449717342	5857.37382690044	102420.988551825	24936.9131733047	9017.6468535969	21070.978392278	13426.8168788141	31550.1332040244
hsd	10659.3660204793	7826.49769971587	8187.30120428233	16617.7792362619	21129.6478335476	10274.5996908704	19668.0466480628	30769.7377455719	18793.8994986208	11506.3602665547	9132.50506877756	10900.0551209043	2729.75204276133	29443.5801222328	17277.4468091643	12244.7903523178	11827.4934829763	28768.146497918	15466.3282384392	2950.00862704258	24210.0697302672	20701.7324326865	5958.06152876613	9144.13522163373	33690.707950722	6008.36542844719	9197.5337411858	39101.7294779493	6835.48758692914	22573.5545567142	11532.1848856547	15890.2757283119	4642.39048078984	6142.37574953288	98029.8806314515	23833.1150108727	8596.29589857698	21351.8673781205	14567.3996091586	28414.7331095112
