X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11
AL	-0.0263209933442789	-0.0260351011738484	-0.0265666758457403	-0.0262001411482429	-0.0256908173187197	-0.026245897568792	-0.0262141338436609	-0.0282210345455719	-0.0281790440036353	-0.0263878286137366	-0.0248218653728518
AZ	-0.0441079361923101	-0.0467532585136423	-0.0445802277713865	-0.045155638215619	-0.0460650065757854	-0.0469485812521632	-0.0461165708827018	-0.0449395125557698	-0.0455673043314853	-0.0476216519278569	-0.0502018729387369
AR	-0.0411671830792435	-0.043422019300475	-0.0400908379525282	-0.0427729604320092	-0.0416516382640903	-0.0443063075726142	-0.0423488880806114	-0.0420174937902681	-0.0413501935421295	-0.0435562599209917	-0.0431130285892048
CA	-0.0350397778002716	-0.0371473486862845	-0.0354786417409248	-0.0373983928008308	-0.0368372832058599	-0.0348308482283983	-0.0340679904155364	-0.0373111580726336	-0.03385777643011	-0.0319530306756993	-0.0361017649493756
CO	-0.046433177453118	-0.0452018405170651	-0.0454847076862907	-0.0449355177761048	-0.0460424067081986	-0.047213390992869	-0.0466789359698379	-0.0440107990894468	-0.0475354103207057	-0.0474844552224849	-0.0453655096994003
CT	-0.0433682688405289	-0.043335828288198	-0.0425644855579656	-0.0460571246163631	-0.0452260751048144	-0.0443935138370076	-0.0437331687009426	-0.0442467697166746	-0.0448250808619143	-0.0435178963193669	-0.0457827215081553
DE	-0.0449827905130307	-0.0462321233438198	-0.0470872154974403	-0.0500205599666069	-0.0468274269058097	-0.0470711402322849	-0.0449339873213709	-0.0473053867542865	-0.0459963343370908	-0.0441072518968401	-0.0445145738233904
GA	-0.0520014917154736	-0.0495085244126696	-0.0502958105183172	-0.0505120441528268	-0.0520207273484439	-0.0509549469957838	-0.0505394571109594	-0.0524982055814891	-0.0504574213068824	-0.0515866561808046	-0.0525085092976029
HI	-0.039734284956919	-0.0361402522272978	-0.0389412904584059	-0.0352312601154455	-0.0379869656762583	-0.0368728835088073	-0.0370732952354506	-0.038382628006175	-0.0384265657360606	-0.0381946489938348	-0.0373917274259813
IL	-0.0453596762858071	-0.0452436901332406	-0.0454993650193473	-0.0430110820406609	-0.0437017360207797	-0.0442920824008318	-0.0473389318792269	-0.0455607256615945	-0.0466081824523615	-0.0458532420583877	-0.0452899091400332
IN	-0.05773972071775	-0.0576784583160478	-0.0553153132264913	-0.0565157607838007	-0.0572208338320101	-0.0579958199217067	-0.0576758171406478	-0.057464133672951	-0.0561181333909329	-0.0565806853483165	-0.0565727095742807
IA	-0.058436763275332	-0.060464863620886	-0.0586597884705369	-0.0586895432395775	-0.0574357610079425	-0.0573280718897722	-0.0572449782867641	-0.0587315514618839	-0.059596419969391	-0.0589423187064413	-0.0585419462620068
KS	-0.0561373931308643	-0.0575884826073812	-0.0558502666763109	-0.0563481379858412	-0.0569639072897411	-0.0564246227030125	-0.0561392652109166	-0.0557314450790005	-0.0549197289544395	-0.0561853978252587	-0.0569005963638136
KY	-0.055923503227528	-0.0584431153391751	-0.0545625242271256	-0.0576459843320299	-0.055867243512529	-0.0555995772525012	-0.0569434228755766	-0.0568870679202253	-0.0567721321194219	-0.0554482606678817	-0.0582354067128898
LA	-0.0325921456675601	-0.0330515749399913	-0.0322188517366231	-0.0300640985985894	-0.0332177748740285	-0.0349751853482661	-0.0323860529767566	-0.0326305076544042	-0.0365397049968063	-0.0315568693279526	-0.0347844357970461
MD	-0.0480589539425404	-0.0495033489802836	-0.0499817836608954	-0.0490555159321887	-0.049442956267335	-0.0488874062736467	-0.0481019167601237	-0.0460855246729892	-0.0479885941611956	-0.0476129014553814	-0.0475311998419863
MA	-0.0367019430296893	-0.0375458707598009	-0.0379123828159137	-0.0376157550336185	-0.041382829776949	-0.0427840506962963	-0.0417642836130959	-0.0389187058461216	-0.0406471797688243	-0.0389016225911048	-0.0438248338096612
MI	-0.0691769115416895	-0.0687694637095194	-0.0677116136004003	-0.0687312370236323	-0.0696500137282675	-0.0692772636327043	-0.0691161527004664	-0.0690331373017778	-0.0674420313897611	-0.0680319637856918	-0.0682701303029962
MN	-0.0669709357896232	-0.0659774093603531	-0.0670144998472215	-0.0654496870781171	-0.0676087645161734	-0.0652777320259992	-0.0669850387129025	-0.066501755246159	-0.0669400063409817	-0.0674951451874556	-0.0669029850653674
