X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41
AL	-0.0235030176190745	-0.0414728024070349	-0.0378905524737681	0.0280734594473366	-0.0247737024574612	0.0436979883016861	-0.0425631968541799	-0.0207631308556992	-0.00837149955269535	-0.015353049645622	-0.0419009428668421	-0.0187253568012656	-0.0419814396365313	0.0192082177106606	-0.0309893151499788	-0.0169099702065755	-0.0195537388882864	-0.0461670788124001	-0.0318559543609186	-0.0454273477090943	-0.0289615371428486	-0.0313098008075892	-0.0104693203181552	-0.041377621060917	-0.0137837699216248	0.0160487345735545	-0.0406529476935462	-0.0429077867046427	-0.00913576402905902	-0.0383344316766649	-0.0402804090396878	-0.0472884111597057	0.0294976656524397	-0.0415596976556217	-0.00244506180211424	0.0255498569396816	0.0281148447581714	-0.0281717704260797	-0.0260123017952593	0.0343435008219497	0.0418691495845537
AZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AR	-0.01030417271271	-0.0226078790582389	-0.0220948828027116	0.0307828300778395	-0.00700826879208104	0.0525565124374187	-0.0261754270902337	-0.00937528176027658	0.002190832290452	-0.0207990528076861	-0.0194086127703347	-0.00486571525977056	-0.0264973915670661	0.028419228962967	-0.019577376457765	-0.0057109997725737	-0.0062032056053738	-0.0309274760711236	-0.0208141893234598	-0.0266711246472961	-0.0185776219592236	-0.0255882775251578	0.00840815875305408	-0.0278156397143717	0.000472479916500302	0.0198437015147154	-0.0226326511059655	-0.0259119370704377	0.00568249936838825	-0.0230591669052053	-0.036855811517122	-0.0330990974889258	0.0370068959962052	-0.0238150977480238	0.00562823240965161	0.0268539298228279	0.0314076216358632	-0.0170770321612211	-0.00922226936653326	0.0394333536680246	0.046745879178446
CA	-0.0183356992926377	-0.0345516863059535	-0.0312811847219093	0.0292959033882331	-0.0185748085635482	0.0444978399636086	-0.0364637228280793	-0.0185699630711541	-0.00530288125653717	-0.0203419794802172	-0.0351443207227316	-0.0128041379223965	-0.0385893096847377	0.0204746236209248	-0.0260714244998633	-0.0156160225756118	-0.0159783069362509	-0.0409491187399229	-0.0285578852592734	-0.0383701824780272	-0.0265579141184108	-0.0293072730290249	-0.00266351462550908	-0.0372994464134511	-0.00891851086895604	0.019545407494535	-0.0352048012103717	-0.0383366638214959	-0.00427549896674163	-0.0311707321990974	-0.0380068170719258	-0.0413413243911351	0.031448379679629	-0.0362555263667068	0.000129808201585746	0.0253821507616646	0.0316941576124715	-0.0232446028212176	-0.0208269117525604	0.0351152496277038	0.0431801321354026
CO	-0.0147750008768507	-0.0302657302681675	-0.0277100034635962	0.0285528701687761	-0.0148552776579685	0.0445794043756141	-0.0328683143195629	-0.0172656743530701	-0.00260782951333139	-0.017446463844483	-0.0292753209474705	-0.0123780028410318	-0.0346756177289275	0.0185744988914769	-0.0259236151616964	-0.00914685471382428	-0.0138627272262565	-0.0355499972221977	-0.024792969145794	-0.0351201906777202	-0.0254037310843546	-0.0260217092247143	-0.0024128680156868	-0.0334082239454601	-0.0058634178668129	0.0159142685209567	-0.0315078797776948	-0.0317052825465597	-0.00143828972329382	-0.0293113766967231	-0.0358311373007795	-0.0376195213001577	0.0346077007312331	-0.0326377748805595	0.00400264080058341	0.0268875925410186	0.0291904000477186	-0.0229493135229685	-0.0161563099712726	0.0335119092709549	0.0415041379297567
CT	-0.0209100662465574	-0.0363924233351957	-0.0331096581828087	0.0249054390905365	-0.020971259141392	0.0395937696353809	-0.0364721052326634	-0.0209155577900752	-0.00883297475786925	-0.0171813394392258	-0.0356918740589067	-0.017389110305469	-0.0369513290040927	0.0166151279052354	-0.0286788235626437	-0.0171505757117059	-0.0188005912588174	-0.0399757583558291	-0.0282501608036104	-0.039536772579267	-0.0269527672837557	-0.0287830009766099	-0.0101840426324297	-0.0389520455154158	-0.0119850702724253	0.0129780589199567	-0.0373624694236194	-0.0389746511853821	-0.00681345199341762	-0.0344259515980072	-0.0377391203284163	-0.0428585453123787	0.031745561977687	-0.0367993474587758	-0.00195365369565927	0.0233893759261148	0.026303208789255	-0.0267789818682487	-0.0209143409242154	0.0324614337596552	0.0377419696469536
DE	-0.0163012785565961	-0.0305271678234027	-0.0288754957476049	0.030373536594866	-0.0147664393452764	0.0457490758278941	-0.0322132382895714	-0.0153394903969101	-0.00345920178892881	-0.0173649613797983	-0.0285374874112871	-0.0125121569567527	-0.0339959305426975	0.0215436086476421	-0.0265620420995078	-0.0108000804844185	-0.0140347633659743	-0.0355059201403592	-0.0244215642073567	-0.0352217099086475	-0.0247930050657733	-0.0269874431704215	-0.00117928301203763	-0.034349743491147	-0.00538032594993706	0.0158274213937327	-0.0297609546768534	-0.0340013379115643	-0.000952011049732693	-0.0276228228063413	-0.0345750937705347	-0.0371358520270381	0.0337711427939628	-0.0308872485207217	0.00507727441504159	0.0271607535024826	0.028610485108426	-0.0221397525677784	-0.0147901841846231	0.0346230450820066	0.0419135767256793
GA	0.00931691383165318	0.00367580155802885	-0.00348262356265576	0.0324004602949366	0.0208810948886438	0.0633138015405597	-0.00608586321115676	0.0121273747684873	0.0196383419739764	-0.0158558576317823	0.00897329395382803	0.0110111071192577	-0.00821908203920184	0.0418196010104351	-0.00769880424507209	0.0135622250955103	0.0135586122450578	-0.00786964173398161	-0.00737070555705041	-0.00123467007982914	-0.0029072425437422	-0.0179779423813074	0.0383076164417128	-0.00518679714358394	0.0226353307444222	0.0328129348895881	-0.0020634693496066	-0.00376806503953452	0.0213701320583199	-0.00303720707354556	-0.0358321507405278	-0.0131348578104974	0.0435043780062506	-0.00202984344695888	0.0268739672878562	0.0324569636730253	0.0340294270011846	-0.00325913293203143	0.0164642546965125	0.0528201386936557	0.0584870805109079
HI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL	-0.0197589581563106	-0.0356885316605949	-0.0323393414964134	0.0268553543854585	-0.020345106929343	0.0398659882548624	-0.0372552147520582	-0.0195856837298144	-0.00867570303281781	-0.0177029869236909	-0.034909819319609	-0.0144098259805323	-0.0377523320399159	0.0176953928232904	-0.0284364953353631	-0.0152224359160929	-0.0183009214923247	-0.0419688696810048	-0.0274830404566685	-0.0395243277360735	-0.0268866927804789	-0.0294527784343531	-0.00676833295547245	-0.0371121878899957	-0.0113545704488658	0.0125758065419697	-0.0359323840260221	-0.0383873339781334	-0.00410510168770711	-0.0334854532353215	-0.037487987004698	-0.0401997511681408	0.029132580563632	-0.0346450813976263	-0.00280230925053987	0.0241180966996829	0.0269178568302712	-0.0267809808584509	-0.0198429182784395	0.030800406207291	0.0393689817833975
IN	-0.00278032881699189	-0.0152962057895347	-0.0182892269396276	0.0322559048566363	-0.00120177937217171	0.0531787366839945	-0.0209281881296466	-0.00605238727134549	0.00533650253950964	-0.0154570249045534	-0.012135683188324	-0.00312251286516229	-0.0207231102524131	0.0261468033519451	-0.0174702592447833	0.00100832403873046	-0.0014702467994203	-0.0237969582388252	-0.0177439308502223	-0.0173625843285814	-0.0133562513901571	-0.0201751187564343	0.0144894388229532	-0.0223673481459744	0.00507176220467938	0.0237331019072633	-0.0161116724857584	-0.0207960522248488	0.00853819166729575	-0.0138395801056497	-0.0349375683893143	-0.0263265947370357	0.0372936699493388	-0.0193590264627184	0.012254652030547	0.0247752721069565	0.029248953960028	-0.0147402555142358	-0.00335099244095036	0.0411379963216898	0.0458951604641541
IA	-0.00768625487798833	-0.0182584484094059	-0.0201703360427642	0.0282576719518192	-0.00255054474097524	0.0493963255928445	-0.0227194460233797	-0.00889840498628074	0.00278153718143155	-0.014804761690886	-0.0160230049560206	-0.00643741695684748	-0.0237997285701968	0.0272544505178344	-0.0185392448405713	-0.00375926091727083	-0.00595290387565676	-0.0256995703735952	-0.0180494147359721	-0.0219865420490516	-0.0176610647142712	-0.0225589380742691	0.0118196491406229	-0.022742228022022	0.00340055307525022	0.0242136703786583	-0.020119636824695	-0.0231704415497234	0.00602205658039976	-0.0187602000821599	-0.0336533123265574	-0.0275700661774689	0.0339306221416835	-0.0215793336073785	0.0106381948048964	0.028094885621192	0.0298936154998737	-0.0151639256286222	-0.00404654616572462	0.0405843408646042	0.0454320001082782
KS	0.00401998100589383	-0.00825513598273502	-0.0108877677839286	0.0327152249766976	0.00803383230147195	0.0567118909081612	-0.0148495220330177	-2.90580359636678e-05	0.00813728588257649	-0.0146898658293775	-0.0034133735792021	0.0032536551598177	-0.01597910070088	0.0348650669850736	-0.0164131130632827	0.00518607553154093	0.00479738301832448	-0.018652474600349	-0.0128698412203329	-0.0119775391143982	-0.00845571034199459	-0.019309417244171	0.0246824541081856	-0.0151158490991154	0.0141148196470331	0.0267491322894794	-0.0125392352487754	-0.0139513074630717	0.0151375680985466	-0.0114254051577182	-0.0332259805599711	-0.0201505770093868	0.0423628409392992	-0.0137911628860433	0.0168363513553524	0.028843716443123	0.030350948622698	-0.00767831966643297	0.00892447382343362	0.0479716718507437	0.0518568287419806
KY	0.00141561061750235	-0.0036150923433437	-0.0121098125854892	0.0309076878821473	0.00905551224308983	0.0569303268145615	-0.012597936696634	0.00230874454127074	0.0139628279605811	-0.0153943137442406	-9.91162492293283e-05	0.00430923363127711	-0.0138410453878143	0.035671212405891	-0.0127057164292849	0.0091509849979075	0.00660484020501983	-0.0155361610872521	-0.0109960426336774	-0.0108544569249371	-0.00837979758643578	-0.0181756622542747	0.0264257476325541	-0.0121374670537464	0.0139098435155872	0.0292668204540524	-0.00956899302383165	-0.0135206592705554	0.0160996835056253	-0.00893364711296505	-0.0346334569073876	-0.0168170204793867	0.0400208469312287	-0.00986859259325137	0.0212452993518493	0.0275054986761589	0.0289559053978323	-0.00776736783943909	0.00868850085239256	0.0460649976067162	0.054174768621902
